level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	19	1	274	762	9	10	83.670448	x
4	1	1	1	20	0	109	781	126	17	-1	
5	1	1	1	20	1	109	783	51	15	89.335495	【答案
5	1	1	1	20	2	161	772	10	35	70.614716	]
5	1	1	1	20	3	190	781	45	15	75.219536	，4In
5	1	1	1	20	4	227	772	12	35	95.914253	2
4	1	1	1	21	0	109	810	359	15	-1	
5	1	1	1	21	1	109	810	51	15	93.297211	【解析
5	1	1	1	21	2	171	817	2	7	43.986633	】，
5	1	1	1	21	3	195	810	18	15	43.986633	被
5	1	1	1	21	4	217	811	3	13	91.819679	积
5	1	1	1	21	5	223	810	48	15	93.684120	函数
5	1	1	1	21	6	267	799	14	36	80.951591	为
5	1	1	1	21	7	288	811	5	13	80.951591	1
5	1	1	1	21	8	307	810	10	15	89.863678	的
5	1	1	1	21	9	323	813	11	10	91.319878	二
5	1	1	1	21	10	341	810	19	15	92.724884	重
5	1	1	1	21	11	364	810	60	15	96.574615	积分
5	1	1	1	21	12	395	799	21	36	70.197578	来
5	1	1	1	21	13	415	799	14	36	81.670158	求
5	1	1	1	21	14	429	799	12	36	92.413849	，
5	1	1	1	21	15	437	810	31	15	91.215271	所
5	1	1	1	21	16	458	799	14	36	96.802414	以
4	1	1	1	22	0	207	856	312	14	-1	
5	1	1	1	22	1	207	856	6	8	40.877922	2
5	1	1	1	22	2	311	856	6	8	42.545319	a4
5	1	1	1	22	3	413	856	9	14	96.937172	3
5	1	1	1	22	4	510	856	9	14	96.843735	3
4	1	1	1	23	0	162	865	424	19	-1	
5	1	1	1	23	1	162	868	10	14	50.491035	S
5	1	1	1	23	2	181	873	7	5	50.491035	=
5	1	1	1	23	3	197	856	9	36	56.807335	[
5	1	1	1	23	4	217	868	9	14	80.525604	dy
5	1	1	1	23	5	245	866	53	17	0.000000	jydx
5	1	1	1	23	6	290	856	9	36	53.185993	+
5	1	1	1	23	7	308	866	4	18	28.976311	[
5	1	1	1	23	8	322	868	9	14	94.545479	dy
5	1	1	1	23	9	359	865	28	19	0.000000	dx
5	1	1	1	23	10	401	867	67	15	52.356110	==+4In
5	1	1	1	23	11	482	868	36	14	52.948399	2-=
5	1	1	1	23	12	530	868	37	14	36.920288	=4n
5	1	1	1	23	13	577	868	9	14	96.852386	2
4	1	1	1	24	0	200	866	318	36	-1	
5	1	1	1	24	1	200	866	9	26	9.768829	f
5	1	1	1	24	2	228	872	27	29	9.726772	SS
5	1	1	1	24	3	332	872	27	30	4.310093	ay
5	1	1	1	24	4	413	885	9	14	34.229805	SEG
5	1	1	1	24	5	510	885	8	14	96.996140	2
4	1	1	1	25	0	111	932	796	25	-1	
5	1	1	1	25	1	111	937	36	13	83.862724	(13)
5	1	1	1	25	2	183	936	32	15	46.660480	AW
5	1	1	1	25	3	223	936	69	15	0.571518	SBME,
5	1	1	1	25	4	321	934	14	23	16.104469	A
5	1	1	1	25	5	345	932	53	20	16.104469	=3,
5	1	1	1	25	6	406	938	14	15	9.906607	Ay
5	1	1	1	25	7	428	938	106	15	0.000000	ATARI.
5	1	1	1	25	8	547	938	48	15	49.248234	Fk
5	1	1	1	25	9	611	927	5	36	7.961502	。
5	1	1	1	25	10	621	938	11	14	7.961502	A
5	1	1	1	25	11	640	938	30	15	92.411491	的
5	1	1	1	25	12	662	927	19	36	96.709976	第
5	1	1	1	25	13	684	944	4	1	95.360214	一
5	1	1	1	25	14	696	938	19	15	92.938553	行
5	1	1	1	25	15	724	938	7	15	96.645538	与
5	1	1	1	25	16	740	940	9	11	96.808258	第
5	1	1	1	25	17	757	938	5	15	66.128334	一
5	1	1	1	25	18	764	938	18	15	92.888191	行
5	1	1	1	25	19	791	938	5	14	96.856583	得
5	1	1	1	25	20	801	938	13	15	96.738708	到
5	1	1	1	25	21	819	927	38	36	9.105663	矩阵
5	1	1	1	25	22	871	938	10	14	71.330978	B
5	1	1	1	25	23	889	950	2	4	90.925697	,
5	1	1	1	25	24	893	938	14	15	93.063675	则
4	1	1	1	26	0	104	987	145	21	-1	
5	1	1	1	26	1	104	987	35	20	0.000000	|BA'|
5	1	1	1	26	2	154	997	11	5	96.705536	=
5	1	1	1	26	3	245	1004	4	4	27.516413	‘
4	1	1	1	27	0	109	1035	102	16	-1	
5	1	1	1	27	1	109	1035	51	16	92.378616	【答案
5	1	1	1	27	2	171	1037	40	12	83.425262	】，-27
4	1	1	1	28	0	109	1074	515	24	-1	
5	1	1	1	28	1	109	1077	51	15	92.432747	【解析
5	1	1	1	28	2	171	1085	2	6	52.478325	】，
5	1	1	1	28	3	190	1077	30	15	96.474831	由
5	1	1	1	28	4	210	1070	15	33	90.341621	于
5	1	1	1	28	5	229	1079	12	14	90.341621	B
5	1	1	1	28	6	253	1084	7	4	93.092590	=
5	1	1	1	28	7	268	1078	44	18	34.104813	E2A,
5	1	1	1	28	8	327	1079	14	16	86.191452	ik
5	1	1	1	28	9	352	1074	27	19	96.310898	BA
5	1	1	1	28	10	391	1074	83	24	67.372917	=E,A-A
5	1	1	1	28	11	487	1078	9	19	6.511650	4
5	1	1	1	28	12	506	1078	47	20	6.511650	AE,
5	1	1	1	28	13	564	1078	60	20	19.250669	=3E,。，
4	1	1	1	29	0	102	1131	400	24	-1	
5	1	1	1	29	1	102	1135	37	14	94.223396	所
5	1	1	1	29	2	128	1127	22	33	92.826454	以
5	1	1	1	29	3	149	1127	14	33	89.650780	，|
5	1	1	1	29	4	171	1131	27	19	96.236198	BA
5	1	1	1	29	5	216	1136	47	19	0.000000	(SE:
5	1	1	1	29	6	273	1131	43	24	72.114700	|=3?|
5	1	1	1	29	7	329	1136	10	17	49.117821	Er
5	1	1	1	29	8	355	1136	54	19	76.811172	|=27*(
5	1	1	1	29	9	420	1136	25	19	91.641190	-1)
5	1	1	1	29	10	456	1141	8	5	87.370186	=
5	1	1	1	29	11	471	1136	31	15	87.370186	-27
4	1	1	1	30	0	111	1178	785	46	-1	
5	1	1	1	30	1	111	1192	36	13	82.670807	(14)
5	1	1	1	30	2	165	1191	7	14	91.648926	设
5	1	1	1	30	3	183	1190	15	17	88.524460	A
5	1	1	1	30	4	206	1190	31	17	88.524460	B,C
5	1	1	1	30	5	248	1191	12	14	94.532806	是
5	1	1	1	30	6	269	1190	34	16	96.124023	随机
5	1	1	1	30	7	312	1191	21	15	93.208984	事件
5	1	1	1	30	8	363	1190	33	17	2.118807	，“A,
5	1	1	1	30	9	386	1179	9	36	70.287529	C
5	1	1	1	30	10	404	1191	71	15	87.258682	互
5	1	1	1	30	11	431	1179	16	36	92.649307	不
5	1	1	1	30	12	446	1179	17	36	82.762596	相
5	1	1	1	30	13	462	1179	19	36	87.660271	容
5	1	1	1	30	14	480	1179	14	36	69.389336	，
5	1	1	1	30	15	504	1192	54	19	69.389336	P(AB)
5	1	1	1	30	16	567	1197	10	5	96.774254	=
5	1	1	1	30	17	584	1178	9	46	0.000000	1
5	1	1	1	30	18	601	1192	48	19	90.398476	,P(C)
5	1	1	1	30	19	659	1178	25	46	49.422523	=;
5	1	1	1	30	20	692	1193	20	16	84.677628	,
5	1	1	1	30	21	703	1177	18	40	92.256241	则
5	1	1	1	30	22	720	1181	72	30	89.926292	P(ABC
5	1	1	1	30	23	785	1177	8	40	92.196014	)
5	1	1	1	30	24	800	1197	11	5	85.186768	=
4	1	1	1	31	0	109	1235	95	27	-1	
5	1	1	1	31	1	109	1247	64	15	48.090687	[答案
5	1	1	1	31	2	176	1231	9	41	73.780838	，
5	1	1	1	31	3	192	1235	12	19	88.549507	3
4	1	1	1	32	0	192	1265	10	13	-1	
5	1	1	1	32	1	192	1265	10	13	96.688911	4
4	1	1	1	33	0	146	1293	403	27	-1	
5	1	1	1	33	1	146	1317	4	1	65.732300	_
5	1	1	1	33	2	296	1316	19	4	8.297663	、
5	1	1	1	33	3	471	1293	78	24	92.338264	P(ABC
5	1	1	1	33	4	539	1289	12	36	92.982460	)
4	1	1	1	34	0	109	1310	448	27	-1	
5	1	1	1	34	1	109	1317	51	15	93.139740	【解析
5	1	1	1	34	2	171	1324	2	6	80.376053	】，
5	1	1	1	34	3	190	1317	12	14	80.419739	由
5	1	1	1	34	4	208	1316	21	16	92.928185	条
5	1	1	1	34	5	231	1316	2	15	93.222275	件
5	1	1	1	34	6	239	1316	88	16	75.347633	概率
5	1	1	1	34	7	280	1306	19	36	96.712860	的
5	1	1	1	34	8	298	1306	37	36	92.979774	定义
5	1	1	1	34	9	363	1310	71	27	12.629986	，“P(AB|C
5	1	1	1	34	10	444	1315	113	19	86.373482	)=
5	1	1	1	34	11	476	1306	21	36	78.219337	一
5	1	1	1	34	12	496	1315	41	19	53.193207	-一
5	1	1	1	34	13	550	1306	10	36	77.426819	，
4	1	1	1	35	0	485	1333	50	20	-1	
5	1	1	1	35	1	485	1333	50	20	89.472740	P(c)
4	1	1	1	36	0	37	1465	1000	36	-1	
5	1	1	1	36	1	37	1482	39	9	11.976261	[人
5	1	1	1	36	2	78	1482	8	8	35.365364	全
5	1	1	1	36	3	91	1465	21	36	17.747078	于。
5	1	1	1	36	4	112	1481	49	10	18.079309	二
5	1	1	1	36	5	125	1465	12	36	47.587311	地
5	1	1	1	36	6	136	1465	10	36	88.505074	大
5	1	1	1	36	7	145	1481	16	10	15.919571	和
5	1	1	1	36	8	483	1465	31	36	0.000000	perv
5	1	1	1	36	9	524	1465	67	36	0.000000	rerey
5	1	1	1	36	10	913	1481	61	10	21.129904	Lanes:
5	1	1	1	36	11	987	1481	50	10	4.087429	maki
